Solution,Cost (€/m²),Yield (kg/m²),Water (L/m²),Carbon (kg CO₂e/m²),Constraint Violation
50,0.6797268544102614,0.04536693152478124,1.0499999999999805,4.586108897225859,776.9427395799698
51,0.6326773104836741,0.023775564639465667,1.0499999999999805,4.268666191215151,970.6918699509681
52,0.785866781611771,0.20445744595211146,1.0499999999999805,6.066233707260095,373.091210390394
53,0.8296577340303892,0.5724554207355029,1.0499999999999805,6.361690735626675,0.0
54,0.8140222530735608,0.28720279431780393,1.0499999999999805,6.256198333990243,306.4390372818323
55,0.8154244495200631,0.29521247622675123,1.0499999999999805,6.265658936520861,302.332707988076
56,0.6170823191125011,0.0,1.0499999999999805,4.163446972325309,1259.6205887776678
57,0.9405000509227,1.1514890803668725,1.0499999999999805,7.108670500342317,0.0
58,0.9496477461622623,1.1535223482351848,1.0499999999999805,7.169789276593941,0.0
59,0.9096643994933358,1.1211396111190235,1.0499999999999805,6.90095696773436,0.0
60,0.8422840320268001,0.8764023141093349,1.0499999999999805,6.446880216084388,0.0
61,0.8875396102251467,1.0654856314907077,1.0499999999999805,6.752129523815465,0.0
62,0.8649012270140308,0.9868912931669026,1.0499999999999805,6.5994781581669075,0.0
63,0.7385753952672883,0.14364820593715136,1.0499999999999805,4.983159293369656,454.90686344145706
64,0.7545276236651262,0.15341885053296273,1.0499999999999805,5.090788786174345,454.1917875410678
65,0.7766769651378866,0.17836714103727275,1.0499999999999805,6.0042301262314774,399.61900606837105
66,0.8670664495605847,0.9916014978068127,1.0499999999999805,6.614086888601488,0.0
67,0.7901893557595654,0.2178455427355303,1.0499999999999805,6.095398062956058,362.2586322792
68,0.8918957962454261,1.0811684001461654,1.0499999999999805,6.781547978608396,0.0
69,0.8256680518511306,0.27884305282083094,1.0499999999999805,6.334772398031676,264.58279275028747
70,0.7753391558306946,0.17477837173854807,1.0499999999999805,5.995203942954037,403.28759806847444
71,0.8346238689420455,0.673698849902456,1.0499999999999805,6.39519718804267,0.0
72,0.8200284407516707,0.23813120107632732,1.0499999999999805,6.296722009890743,280.6956000111882
73,0.8801056409641761,1.0413585413579554,1.0499999999999805,6.70172242019237,0.0
74,0.9153986243977623,1.1318693999585785,1.0499999999999805,6.939586539410049,0.0
75,0.6435177071218484,0.026652594626147705,1.0499999999999805,4.3418062167257245,945.7998405793758
76,0.9068743298610515,1.1129132146737466,1.0499999999999805,6.881953280705559,0.0
77,0.8843213113348078,1.0541435217421689,1.0499999999999805,6.730184209343276,0.0
78,0.8550570919964813,0.9400820445381938,1.0499999999999805,6.533059897807537,0.0
79,0.768298573486703,0.16591352689200897,1.0499999999999805,5.183701218705466,453.50833333334316
80,0.6785523883239886,0.04482227936296646,1.0499999999999805,4.5781847886919715,779.9503526564076
81,0.8027211312541911,0.2581591113840611,1.0499999999999805,6.179949801233049,335.18835491797984
82,0.6922532202867805,0.05351113839673272,1.0499999999999805,4.670624136874664,740.7543760523702
83,0.8703290611356131,1.0074425083490413,1.0499999999999805,6.636099689589631,0.0
84,0.8912375642353016,1.0791604403329278,1.0499999999999805,6.777115658578504,0.0
85,0.6378899740763605,0.02558519698613811,1.0499999999999805,4.303835969671829,958.0678091185772
86,0.6623210544081984,0.03420419771857197,1.0499999999999805,4.468672174320376,898.783700858768
87,0.6411653099517942,0.02596414944802847,1.0499999999999805,4.325934621361504,951.2999211274833
88,0.655485767354787,0.028971093254717053,1.0499999999999805,4.422554574923865,921.4318210359903
89,0.8461160000193821,0.8916879052234077,1.0499999999999805,6.47273445796205,0.0
90,0.7803921483723533,0.19461626889614372,1.0499999999999805,6.02929642275318,390.03182274700276
91,0.6875072496925126,0.05266717899209863,1.0499999999999805,4.6386031304555075,749.6571107506891
92,0.8458816600854053,0.890127466286665,1.0499999999999805,6.471153369250881,0.0
93,0.9068412218764004,1.1196592297693952,1.0499999999999805,6.882306328582842,0.0
94,0.9389689357379678,1.1506425440474126,1.0499999999999805,7.0982839772769575,0.0
95,0.8232831399661096,0.32048594840223754,1.0499999999999805,6.318681426277319,285.36416480726695
96,0.6483135995782934,0.02570634860872168,1.0499999999999805,4.374164045347522,944.6588813164684
97,0.7836056263683804,0.19741922576530432,1.0499999999999805,6.050977720075772,383.3635921474429
98,0.6518212136446552,0.027345132441747088,1.0499999999999805,4.397829875192855,933.7188880348758
99,0.7939996750306026,0.23097728108762722,1.0499999999999805,6.121106241170284,352.5471295955202
